"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000007866.22" 207.133 225.398 719.658 711.185 164.211 157.633
"ENSG00000007908.16" 0 0 0 0 2 0
"ENSG00000007923.16" 1118.42 1247.165 1740.298 1946.848 2012.419 2050.684
"ENSG00000007933.13" 0 0 0 0 0 0
"ENSG00000007944.15" 281.279 310.029 291.63 401.621 209.948 176.376
"ENSG00000007952.18" 0 1 5 7 0 0
"ENSG00000007968.7" 184.203 182.249 246.742 253.256 309.189 341.764
"ENSG00000008018.9" 4551.861 4796.854 3156.742 3717.282 2547.052 2344.53
"ENSG00000008056.14" 2 0 0 0 0 0
"ENSG00000008083.14" 168.039 175.101 1155.372 1259.611 231.428 337.783
"ENSG00000008086.13" 65 70 299.14 326.233 173.117 172.81
"ENSG00000008118.10" 0 0 0 0 5 0
"ENSG00000008128.23" 264.28 333.452 387.517 373.444 579.729 610.179
"ENSG00000008130.15" 1973.887 1886.745 1701.068 1987.67 2840.381 2728.518
"ENSG00000008196.13" 0 0 0 0 0 0
"ENSG00000008197.5" 0 0 0 0 0 0
"ENSG00000008226.20" 2.209 2.209 4.219 3.963 0 3.232
"ENSG00000008256.16" 2219.522 2337.333 3026.896 3663.286 2062.766 2106.905
"ENSG00000008277.15" 4 5 0 0 183.046 217
"ENSG00000008282.9" 2351.018 2284.283 3043.864 3453.588 2145.58 2061.647
"ENSG00000008283.16" 1420.528 1448.792 1798.151 1999.47 679.552 876.334
"ENSG00000008294.21" 2882.041 2836.737 2603.926 2967.85 7551.268 7444.944
"ENSG00000008300.17" 431.457 493.245 123 126.061 1654.632 1760.038
"ENSG00000008311.16" 190.002 174.021 2 6 84.008 104
"ENSG00000008323.16" 10 3 493.719 592.276 7 23
"ENSG00000008324.12" 997.849 1165.837 286.686 384.911 476.034 462.411
"ENSG00000008382.16" 69.419 117.631 220.015 346.174 260.317 212.413
"ENSG00000008394.13" 0 0 2300.674 2703.127 0 0
"ENSG00000008405.12" 1339.282 1474.38 490.683 631.81 918.042 1007.729
"ENSG00000008438.5" 0 0 0 0 0 0
"ENSG00000008441.18" 814.458 837.248 1370.047 1338.852 1967.29 1814.489
"ENSG00000008513.16" 841.488 915.138 1 3 3363.13 3701.555
"ENSG00000008516.18" 9.169 0 3.228 2.068 3 9.546
"ENSG00000008517.19" 244.947 253.02 3429.888 3975.092 317.294 342.037
"ENSG00000008710.20" 1776.376 1794.602 1050.925 1176.583 3172.336 3431.738
"ENSG00000008735.14" 331.162 340.013 2 7 360.613 497.353
"ENSG00000008838.20" 1408.738 1557.992 1897.909 2143.658 1839.443 1889.168
"ENSG00000008853.17" 170.162 213.001 637.203 705.445 627.387 669.058
"ENSG00000008869.12" 392.941 424.742 579.661 590.428 1104.865 1005.48
"ENSG00000008952.17" 4296.674 4352.977 2735.437 2977.454 3043.88 3461.328
"ENSG00000008988.11" 21934.933 21999.893 7922.21 8858.337 10928.142 10648.595
"ENSG00000009307.16" 12680.677 12896.915 11284.148 13567.112 15202.729 15230.95
"ENSG00000009335.18" 3122.161 3522.965 3043.939 3756.599 3865.282 4276.404
"ENSG00000009413.16" 437.136 433.105 948.69 1115.976 1533.31 1453.426
"ENSG00000009694.13" 20 8 0 1 0 0
"ENSG00000009709.12" 0 0 0 0 0 0
"ENSG00000009724.17" 19 6 8.001 10 31 32.018
"ENSG00000009765.15" 0 0 9 8 0 0
"ENSG00000009780.16" 343.001 314.146 272.735 349.908 244.71 178.577
"ENSG00000009790.15" 8.622 2 1.059 0 1.067 0
"ENSG00000009830.13" 247.979 252.427 989.262 1074.02 840.576 1005.294
"ENSG00000009844.16" 3157.469 3339.836 1328.547 1548.004 1870.393 2045.435
"ENSG00000009950.16" 20 11 28.927 32 0 0
"ENSG00000009954.11" 2380.238 2187.493 3510.28 3811.355 4508.19 4382.255
"ENSG00000010017.13" 1001.835 1032.77 1782.281 2005.809 626.09 654.761
"ENSG00000010030.14" 4 3 18.004 12 2 10
"ENSG00000010072.16" 713.976 712.797 628.397 704.78 566.95 547.549
"ENSG00000010165.20" 989.999 1051.779 2180.12 2494.011 735.793 891.282
"ENSG00000010219.13" 262.869 181.58 45.272 55.859 178.476 205.513
"ENSG00000010244.19" 5994.378 6300.693 4906.551 5750.775 5172.555 5004.915
"ENSG00000010256.11" 7360.138 7692.506 3601.507 4167.53 4375.193 4521.08
"ENSG00000010270.14" 771.07 847.618 637.205 694 900.09 895.093
"ENSG00000010278.15" 11324.883 11680.371 6370.67 7074.152 1044.833 1235.377
"ENSG00000010282.15" 0 0 0 0 0 0
"ENSG00000010292.13" 8640.848 8853.455 6102.558 6487.038 7888.392 8431.647
"ENSG00000010295.20" 57.365 55 11 2.017 34.068 35
"ENSG00000010310.9" 5 5 18 15.001 12 28
"ENSG00000010318.21" 119.001 115 32.043 44 164.269 129.875
"ENSG00000010319.7" 5 0 12 21 2 0
"ENSG00000010322.16" 632.569 724.87 975.573 1053.405 1074.268 1051.499
"ENSG00000010327.10" 0 0 3 1 0 0
"ENSG00000010361.14" 101.391 144.929 7.204 16.239 46.753 49.586
"ENSG00000010379.16" 0 0 0 0 0 9
"ENSG00000010404.18" 2093.732 2245.079 3.566 24 2495.195 2328.628
"ENSG00000010438.17" 1111.718 1364.033 874.826 869.413 492.04 429.674
"ENSG00000010539.12" 228.155 336.003 392.596 458.046 268.076 252.67
"ENSG00000010610.10" 0 0 3 3 0 0
"ENSG00000010626.15" 92.373 44.484 30.024 21.002 93.816 110.579
"ENSG00000010671.16" 0 0 0 3 0 0
"ENSG00000010704.19" 320.082 295.897 281.01 277.245 199.566 218.408
"ENSG00000010803.16" 270.073 335.27 490.22 624.414 613.769 531.615
"ENSG00000010810.17" 263.377 289.578 0 0 367.2 461.054
"ENSG00000010818.10" 448.035 588.865 17 43.007 2290.906 2332.902
"ENSG00000010932.17" 0 0 0 0 0 0
"ENSG00000011007.12" 2122.73 2135.048 1851.326 2035.16 3317.749 3130.118
"ENSG00000011009.11" 668.991 717.338 1850.482 2058.721 1379.788 1291.424
"ENSG00000011021.23" 578.946 576.25 390.633 409.699 788.52 668.167
"ENSG00000011028.14" 1172.373 1233.517 0 0 1165.871 1096.472
"ENSG00000011052.21" 1152.567 854.002 92.403 112.188 173.089 157.471
"ENSG00000011083.9" 0 0 0 0 0 0
"ENSG00000011105.14" 519.212 456.09 259.825 308.041 1197.664 1290.396
"ENSG00000011114.15" 910.198 1011.971 1342.784 1624.78 1858.146 1837.022
"ENSG00000011132.12" 198.153 201.053 234.388 292.264 434.09 485.439
"ENSG00000011143.19" 143.01 157.492 282.372 331.994 99.302 116.632
"ENSG00000011198.10" 1655.717 1855.374 514.832 610.067 1314.167 1530.883
"ENSG00000011201.12" 99 103.311 0 0 131 140.761
"ENSG00000011243.19" 836.827 756.371 1038.295 1069.442 1184.278 1247.588
"ENSG00000011258.16" 246.9 341.017 356.23 398.855 469.053 329.514
"ENSG00000011260.14" 3473.651 3501.919 1393.792 1465.402 2046.655 2049.918
"ENSG00000011275.19" 1746.525 1801.053 1196.567 1450.278 2448.904 2746.654
"ENSG00000011295.16" 2543.234 2641.266 651.032 698.549 2504.967 2622.611
"ENSG00000011304.22" 9755.065 10318.38 13775.796 15761.427 16283.99 16770.49
